"Date","Number of Sales (30-day)"
"2020-01-01",209601
"2020-01-02",210296
"2020-01-03",210977
"2020-01-04",212850
"2020-01-05",214360
"2020-01-06",210910
"2020-01-07",207978
"2020-01-08",204558
"2020-01-09",203809
"2020-01-10",202285
"2020-01-11",201212
"2020-01-12",203942
"2020-01-13",205278
"2020-01-14",208088
"2020-01-15",210019
"2020-01-16",210683
"2020-01-17",209526
"2020-01-18",211152
"2020-01-19",214570
"2020-01-20",220699
"2020-01-21",221538
"2020-01-22",225151
"2020-01-23",229628
"2020-01-24",241081
"2020-01-25",246283
"2020-01-26",251098
"2020-01-27",253833
"2020-01-28",254001
"2020-01-29",254673
"2020-01-30",253990
"2020-01-31",251802
"2020-02-01",250502
"2020-02-02",249160
"2020-02-03",241489
"2020-02-04",234616
"2020-02-05",231851
"2020-02-06",226467
"2020-02-07",223791
"2020-02-08",225848
"2020-02-09",234108
"2020-02-10",232503
"2020-02-11",235281
"2020-02-12",232730
"2020-02-13",229502
"2020-02-14",227081
"2020-02-15",227296
"2020-02-16",226360
"2020-02-17",224232
"2020-02-18",220489
"2020-02-19",212203
"2020-02-20",208441
"2020-02-21",206446
"2020-02-22",203552
"2020-02-23",193743
"2020-02-24",189783
"2020-02-25",182981
"2020-02-26",178832
"2020-02-27",177524
"2020-02-28",178775
"2020-02-29",183413
"2020-03-01",186278
"2020-03-02",190549
"2020-03-03",188694
"2020-03-04",189285
"2020-03-05",191182
"2020-03-06",193090
"2020-03-07",197643
"2020-03-08",198774
"2020-03-09",193089
"2020-03-10",184752
"2020-03-11",187636
"2020-03-12",179618
"2020-03-13",176972
"2020-03-14",176392
"2020-03-15",177863
"2020-03-16",179164
"2020-03-17",182444
"2020-03-18",186566
"2020-03-19",188234
"2020-03-20",189216
"2020-03-21",190047
"2020-03-22",189570
"2020-03-23",188083
"2020-03-24",185185
"2020-03-25",181834
"2020-03-26",182259
"2020-03-27",182074
"2020-03-28",184325
"2020-03-29",182895
"2020-03-30",178523
"2020-03-31",187413
"2020-04-01",182517
"2020-04-02",181375
"2020-04-03",183698
"2020-04-04",189950
"2020-04-05",190920
"2020-04-06",190662
"2020-04-07",190626
"2020-04-08",190871
"2020-04-09",189155
"2020-04-10",185212
"2020-04-11",189548
"2020-04-12",194275
"2020-04-13",194661
"2020-04-14",197717
"2020-04-15",196796
"2020-04-16",192929
"2020-04-17",187584
"2020-04-18",186208
"2020-04-19",185848
"2020-04-20",182925
"2020-04-21",181469
"2020-04-22",180218
"2020-04-23",180209
"2020-04-24",180179
"2020-04-25",179202
"2020-04-26",178629
"2020-04-27",174534
"2020-04-28",173007
"2020-04-29",170622
"2020-04-30",155865
"2020-05-01",153069
"2020-05-02",152957
"2020-05-03",150655
"2020-05-04",142968
"2020-05-05",139744
"2020-05-06",135039
"2020-05-07",132686
"2020-05-08",131548
"2020-05-09",130636
"2020-05-10",128648
"2020-05-11",123616
"2020-05-12",118995
"2020-05-13",115847
"2020-05-14",108940
"2020-05-15",106524
"2020-05-16",106570
"2020-05-17",106006
"2020-05-18",103380
"2020-05-19",100369
"2020-05-20",99507
"2020-05-21",97634
"2020-05-22",96525
"2020-05-23",97518
"2020-05-24",98490
"2020-05-25",96240
"2020-05-26",94395
"2020-05-27",92376
"2020-05-28",90566
"2020-05-29",90345
"2020-05-30",90201
"2020-05-31",87908
"2020-06-01",85782
"2020-06-02",82129
"2020-06-03",80506
"2020-06-04",81034
"2020-06-05",81003
"2020-06-06",82245
"2020-06-07",81860
"2020-06-08",80572
"2020-06-09",79739
"2020-06-10",78806
"2020-06-11",79541
"2020-06-12",79413
"2020-06-13",79736
"2020-06-14",80156
"2020-06-15",78716
"2020-06-16",77618
"2020-06-17",76769
"2020-06-18",76254
"2020-06-19",75353
"2020-06-20",75845
"2020-06-21",76079
"2020-06-22",72803
"2020-06-23",71718
"2020-06-24",70819
"2020-06-25",70919
"2020-06-26",70161
"2020-06-27",69756
"2020-06-28",68664
"2020-06-29",67931
"2020-06-30",69239
"2020-07-01",69523
"2020-07-02",70447
"2020-07-03",70808
"2020-07-04",70763
"2020-07-05",70990
"2020-07-06",69852
"2020-07-07",69628
"2020-07-08",69988
"2020-07-09",71107
"2020-07-10",72187
"2020-07-11",73022
"2020-07-12",73779
"2020-07-13",72987
"2020-07-14",71479
"2020-07-15",71200
"2020-07-16",70582
"2020-07-17",70586
"2020-07-18",70850
"2020-07-19",70630
"2020-07-20",69121
"2020-07-21",67692
"2020-07-22",67477
"2020-07-23",65530
"2020-07-24",65451
"2020-07-25",64323
"2020-07-26",63823
"2020-07-27",62750
"2020-07-28",62369
"2020-07-29",62057
"2020-07-30",60402
"2020-07-31",59429
"2020-08-01",58339
"2020-08-02",57714
"2020-08-03",55507
"2020-08-04",58256
"2020-08-05",58195
"2020-08-06",57864
"2020-08-07",56892
"2020-08-08",55721
"2020-08-09",54083
"2020-08-10",50810
"2020-08-11",48543
"2020-08-12",47217
"2020-08-13",46430
"2020-08-14",45515
"2020-08-15",44406
"2020-08-16",44023
"2020-08-17",42748
"2020-08-18",42406
"2020-08-19",42012
"2020-08-20",41686
"2020-08-21",41037
"2020-08-22",40651
"2020-08-23",40350
"2020-08-24",39563
"2020-08-25",39420
"2020-08-26",39560
"2020-08-27",39723
"2020-08-28",39975
"2020-08-29",41712
"2020-08-30",43162
"2020-08-31",43202
"2020-09-01",42088
"2020-09-02",41657
"2020-09-03",37501
"2020-09-04",37025
"2020-09-05",36477
"2020-09-06",36542
"2020-09-07",36411
"2020-09-08",36560
"2020-09-09",37147
"2020-09-10",37550
"2020-09-11",38534
"2020-09-12",38843
"2020-09-13",39442
"2020-09-14",39742
"2020-09-15",41377
"2020-09-16",43200
"2020-09-17",43618
"2020-09-18",45859
"2020-09-19",46423
"2020-09-20",47839
"2020-09-21",48547
"2020-09-22",51218
"2020-09-23",55140
"2020-09-24",56962
"2020-09-25",59782
"2020-09-26",61274
"2020-09-27",62832
"2020-09-28",62377
"2020-09-29",62111
"2020-09-30",63119
"2020-10-01",65087
"2020-10-02",66796
"2020-10-03",68672
"2020-10-04",69838
"2020-10-05",71473
"2020-10-06",73228
