"Date","Number of Sales (30-day)"
"2020-01-01",3300
"2020-01-02",3290
"2020-01-03",3339
"2020-01-04",3393
"2020-01-05",3454
"2020-01-06",3443
"2020-01-07",3474
"2020-01-08",3421
"2020-01-09",3357
"2020-01-10",3361
"2020-01-11",3348
"2020-01-12",3364
"2020-01-13",3334
"2020-01-14",3362
"2020-01-15",3278
"2020-01-16",3191
"2020-01-17",3162
"2020-01-18",3068
"2020-01-19",2974
"2020-01-20",2910
"2020-01-21",2824
"2020-01-22",2799
"2020-01-23",2723
"2020-01-24",2695
"2020-01-25",2662
"2020-01-26",2577
"2020-01-27",2627
"2020-01-28",2997
"2020-01-29",3239
"2020-01-30",3351
"2020-01-31",3406
"2020-02-01",3799
"2020-02-02",6264
"2020-02-03",6811
"2020-02-04",6961
"2020-02-05",7068
"2020-02-06",7096
"2020-02-07",7185
"2020-02-08",7695
"2020-02-09",8169
"2020-02-10",8256
"2020-02-11",8548
"2020-02-12",8592
"2020-02-13",8534
"2020-02-14",8541
"2020-02-15",8591
"2020-02-16",8761
"2020-02-17",8795
"2020-02-18",8919
"2020-02-19",8933
"2020-02-20",8926
"2020-02-21",8908
"2020-02-22",8920
"2020-02-23",9106
"2020-02-24",9196
"2020-02-25",9191
"2020-02-26",9137
"2020-02-27",8704
"2020-02-28",8399
"2020-02-29",8255
"2020-03-01",8263
"2020-03-02",7960
"2020-03-03",5543
"2020-03-04",4976
"2020-03-05",4803
"2020-03-06",4725
"2020-03-07",4710
"2020-03-08",4638
"2020-03-09",4150
"2020-03-10",3744
"2020-03-11",3741
"2020-03-12",3365
"2020-03-13",3327
"2020-03-14",3384
"2020-03-15",3410
"2020-03-16",3365
"2020-03-17",3225
"2020-03-18",3197
"2020-03-19",3040
"2020-03-20",3029
"2020-03-21",3097
"2020-03-22",3125
"2020-03-23",3112
"2020-03-24",3002
"2020-03-25",2939
"2020-03-26",2976
"2020-03-27",2963
"2020-03-28",2949
"2020-03-29",3004
"2020-03-30",3047
"2020-03-31",3014
"2020-04-01",2940
"2020-04-02",2908
"2020-04-03",2971
"2020-04-04",3029
"2020-04-05",3083
"2020-04-06",3111
"2020-04-07",3239
"2020-04-08",3401
"2020-04-09",3411
"2020-04-10",3425
"2020-04-11",3542
"2020-04-12",3616
"2020-04-13",3725
"2020-04-14",3824
"2020-04-15",3962
"2020-04-16",4024
"2020-04-17",4135
"2020-04-18",4294
"2020-04-19",4419
"2020-04-20",4441
"2020-04-21",4548
"2020-04-22",4650
"2020-04-23",4686
"2020-04-24",4741
"2020-04-25",4831
"2020-04-26",4902
"2020-04-27",4996
"2020-04-28",5104
"2020-04-29",5139
"2020-04-30",5206
"2020-05-01",5264
"2020-05-02",5401
"2020-05-03",5495
"2020-05-04",5512
"2020-05-05",5527
"2020-05-06",5566
"2020-05-07",5525
"2020-05-08",5382
"2020-05-09",5283
"2020-05-10",5190
"2020-05-11",5119
