"Date","Number of Sales (7-day)"
"2018-01-01",56382
"2018-01-02",55141
"2018-01-03",49817
"2018-01-04",42448
"2018-01-05",36069
"2018-01-06",32327
"2018-01-07",28545
"2018-01-08",23689
"2018-01-09",18843
"2018-01-10",16442
"2018-01-11",15923
"2018-01-12",16374
"2018-01-13",15995
"2018-01-14",15631
"2018-01-15",14918
"2018-01-16",15148
"2018-01-17",16079
"2018-01-18",16727
"2018-01-19",17337
"2018-01-20",18060
"2018-01-21",18363
"2018-01-22",19574
"2018-01-23",20423
"2018-01-24",20781
"2018-01-25",20322
"2018-01-26",19971
"2018-01-27",19891
"2018-01-28",19490
"2018-01-29",18878
"2018-01-30",18996
"2018-01-31",19212
"2018-02-01",19024
"2018-02-02",18716
"2018-02-03",17910
"2018-02-04",17303
"2018-02-05",17175
"2018-02-06",17497
"2018-02-07",17561
"2018-02-08",18202
"2018-02-09",18549
"2018-02-10",18362
"2018-02-11",19660
"2018-02-12",20580
"2018-02-13",20892
"2018-02-14",23585
"2018-02-15",27277
"2018-02-16",29900
"2018-02-17",32100
"2018-02-18",33129
"2018-02-19",34892
"2018-02-20",35808
"2018-02-21",34239
"2018-02-22",31703
"2018-02-23",30434
"2018-02-24",34599
"2018-02-25",39381
"2018-02-26",41186
"2018-02-27",45090
"2018-02-28",48754
"2018-03-01",51026
"2018-03-02",51253
"2018-03-03",47182
"2018-03-04",43129
"2018-03-05",40750
"2018-03-06",36099
"2018-03-07",33178
"2018-03-08",33773
"2018-03-09",35320
"2018-03-10",40040
"2018-03-11",39331
"2018-03-12",39748
"2018-03-13",39694
"2018-03-14",39343
"2018-03-15",36532
"2018-03-16",33709
"2018-03-17",28312
"2018-03-18",26698
"2018-03-19",24991
"2018-03-20",24294
"2018-03-21",23224
"2018-03-22",22690
"2018-03-23",22717
"2018-03-24",22127
"2018-03-25",25632
"2018-03-26",25554
"2018-03-27",25947
"2018-03-28",26237
"2018-03-29",26685
"2018-03-30",29297
"2018-03-31",29292
"2018-04-01",25875
"2018-04-02",26034
"2018-04-03",25825
"2018-04-04",25149
"2018-04-05",24055
"2018-04-06",22100
"2018-04-07",21670
"2018-04-08",26244
"2018-04-09",28313
"2018-04-10",28347
"2018-04-11",28822
"2018-04-12",29009
"2018-04-13",31379
"2018-04-14",33524
