Month,num

2004-01,36
2004-02,43
2004-03,40
2004-04,41
2004-05,35
2004-06,33
2004-07,42
2004-08,34
2004-09,34
2004-10,36
2004-11,32
2004-12,32
2005-01,32
2005-02,41
2005-03,32
2005-04,39
2005-05,40
2005-06,34
2005-07,30
2005-08,34
2005-09,30
2005-10,43
2005-11,35
2005-12,62
2006-01,35
2006-02,43
2006-03,34
2006-04,36
2006-05,38
2006-06,37
2006-07,39
2006-08,43
2006-09,39
2006-10,35
2006-11,34
2006-12,36
2007-01,33
2007-02,37
2007-03,39
2007-04,39
2007-05,29
2007-06,35
2007-07,30
2007-08,34
2007-09,34
2007-10,31
2007-11,31
2007-12,31
2008-01,38
2008-02,42
2008-03,41
2008-04,38
2008-05,32
2008-06,32
2008-07,38
2008-08,41
2008-09,42
2008-10,79
2008-11,38
2008-12,40
2009-01,44
2009-02,67
2009-03,45
2009-04,48
2009-05,58
2009-06,46
2009-07,49
2009-08,48
2009-09,44
2009-10,46
2009-11,35
2009-12,33
2010-01,38
2010-02,40
2010-03,38
2010-04,37
2010-05,42
2010-06,42
2010-07,41
2010-08,41
2010-09,36
2010-10,41
2010-11,43
2010-12,36
2011-01,42
2011-02,47
2011-03,56
2011-04,48
2011-05,45
2011-06,42
2011-07,41
2011-08,42
2011-09,42
2011-10,41
2011-11,42
2011-12,40
2012-01,42
2012-02,40
2012-03,44
2012-04,62
2012-05,48
2012-06,48
2012-07,47
2012-08,36
2012-09,41
2012-10,42
2012-11,39
2012-12,44
2013-01,42
2013-02,41
2013-03,44
2013-04,77
2013-05,39
2013-06,43
2013-07,65
2013-08,60
2013-09,44
2013-10,45
2013-11,50
2013-12,44
2014-01,53
2014-02,48
2014-03,45
2014-04,49
2014-05,46
2014-06,44
2014-07,47
2014-08,64
2014-09,95
2014-10,60
2014-11,55
2014-12,55
2015-01,60
2015-02,61
2015-03,54
2015-04,56
2015-05,54
2015-06,60
2015-07,63
2015-08,58
2015-09,47
2015-10,53
2015-11,49
2015-12,50
2016-01,69
2016-02,61
2016-03,78
2016-04,47
2016-05,57
2016-06,70
2016-07,94
2016-08,86
2016-09,51
2016-10,51
2016-11,44
2016-12,47
2017-01,55
2017-02,52
2017-03,58
2017-04,51
2017-05,48
2017-06,49
2017-07,50
2017-08,52
2017-09,44
2017-10,42
2017-11,43
2017-12,47
2018-01,49
2018-02,44
2018-03,100
2018-04,75
2018-05,70
2018-06,70
2018-07,73
2018-08,66
2018-09,54
2018-10,56
2018-11,53
2018-12,52
2019-01,48
2019-02,49
2019-03,53
2019-04,68
2019-05,50
2019-06,76
2019-07,66
2019-08,52
2019-09,63
2019-10,55
2019-11,46
2019-12,45
2020-01,48
2020-02,54
2020-03,44
2020-04,48
2020-05,99
2020-06,62
2020-07,56
2020-08,62
2020-09,69
2020-10,56
2020-11,51
2020-12,61
2021-01,50
2021-02,55
2021-03,47
2021-04,48
2021-05,54
